ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature,class
41354.4,41353.7,3059.7,3059.4,3059.4,2682.1,2682.5,2682.5,7140.4,7140.2,7139.7,2240.5,2240,2240.1,5050.3,5050,115121.3,115109.1,14661.6,14652,14651.8,3212.2,3210.6,3209.9,3484.9,3485,3485,5521,5520.1,5520.9,22225.3,22220,37980.8,37960.5,8144.9,8143.9,8143.7,4406.4,4405.6,4406.2,6694.3,6694.8,6693.8,5115.7,5114.8,5114.7,88130.8,88167.4,4946.2,4945.9,1705.3,1704,1703.9,4208.5,4209,4210.5,2420.5,2419.6,2419.2,2604.6,2604.3,2603.5,6054.1,6052.4,15.62,27.67,5
41327.6,41331,3060.1,3059.3,3059.1,2682.2,2682,2682.4,7138.2,7136.9,7136.9,2239.7,2239.6,2239.8,5049.7,5049.2,115068.8,115131.6,14654.3,14644.4,14646.8,3210.9,3209.9,3209.5,3484.3,3484.4,3484.3,5521.4,5522.5,5521,22225.6,22226.8,37975.4,37987.7,8144.7,8143,8144.6,4405.4,4404.4,4404.9,6696.7,6693.5,6693.8,5114.8,5112.2,5112.3,88136.2,88131.4,4944.5,4945.6,1705,1704.1,1704,4208,4208.7,4208.9,2419.8,2418.7,2419,2604.7,2605.6,2605,6053.9,6053,15.71,27.690001,5
41309.6,41319.6,3058.5,3057.2,3057.8,2681.4,2681.1,2681,7136.3,7135.8,7136.1,2239,2238.7,2239.5,5049.3,5048.9,115059.8,115020.9,14647,14643.4,14639.2,3211.1,3209.8,3209.7,3483.9,3483.6,3484,5519.2,5519.2,5519.5,22229.8,22230.4,37995,38012.4,8142.8,8141.5,8143.1,4404,4403.5,4403.5,6693,6690.5,6691.7,5114.7,5113.6,5115.3,88182.7,88187.2,4944.7,4944.9,1704.9,1704,1703.7,4207.3,4207.2,4207.7,2419.2,2418.6,2418.2,2604.2,2604.3,2604.3,6052,6050.6,15.64,27.67,5
41321.2,41315.5,3057.5,3056.6,3056.9,2680.2,2680.4,2680.8,7133.9,7134,7133.8,2238.4,2238.6,2238.6,5048.3,5047.8,115037.2,115022.4,14636.1,14631.1,14631.4,3210.2,3208.8,3208.2,3483.7,3483.5,3483.5,5517.6,5517.7,5517.4,22216.6,22222.7,37985.7,37999.6,8141.4,8140.4,8142.4,4403.7,4402.5,4403.5,6690.6,6689.4,6688.1,5114.2,5115.8,5114.6,88161.8,88163.4,4943.3,4944,1705.1,1703.8,1703.3,4206.3,4206.3,4207.1,2418.6,2417.4,2417.6,2605.3,2605,2604.4,6050.2,6051.5,15.61,27.65,5
41310.9,41313.6,3057.5,3056.5,3057,2680.5,2680.1,2680.7,7133,7132.1,7131.8,2237.9,2237.6,2238.3,5046.9,5046.6,115055.3,115144.2,14647.8,14640.3,14643.7,3210.2,3208.6,3208.5,3482.5,3482.4,3481.9,5517.2,5516.4,5518.6,22213.6,22218,37988.6,37999.3,8140.9,8141.3,8139.6,4402.9,4401.7,4402.6,6689.4,6688.5,6687.8,5113.8,5112.1,5112.9,88136.7,88128.5,4942.4,4942.6,1704.7,1703.4,1703.7,4204.5,4204.4,4204.7,2418,2417.3,2417.8,2603.8,2603.5,2603.9,6051.3,6050.3,15.62,27.690001,5
41308.4,41314.2,3056.8,3056.2,3056.5,2680.1,2679.8,2680.8,7131,7130.5,7131.4,2238,2238.1,2238.7,5045.8,5045.7,115156.7,115126.5,14645.1,14642.1,14637.5,3209.1,3207.9,3207.1,3482.2,3481.8,3481.8,5518.6,5518.5,5518.4,22222.1,22222.1,37999.8,37993.2,8140.5,8138.7,8139.4,4401.4,4400.6,4401.5,6687.2,6687.6,6686.7,5110.4,5111.7,5110.7,88070.1,88067.4,4942.5,4942.1,1703.8,1702.6,1702.8,4202.9,4203.3,4203.8,2417.6,2417,2416.8,2604,2603.6,2603.3,6051.9,6051.3,15.68,27.67,5
41282.2,41290.1,3056.3,3055.5,3055.4,2679.3,2679.4,2679.9,7128.1,7127.1,7127.3,2237.6,2237.5,2237.5,5044.1,5044.1,114996.5,115049.4,14636.4,14632.3,14627.5,3208.6,3207.8,3207,3480.9,3481.4,3481.4,5516.3,5515.6,5515.6,22207.3,22208.8,37950.6,37947.1,8138.5,8137.8,8138,4400.4,4399.8,4399.7,6684,6683,6682.9,5111.5,5109.7,5110.8,88058.6,88059.3,4939.9,4941.6,1704,1702.8,1702.7,4201.9,4202.1,4202.7,2417.2,2416.6,2416.3,2603.9,2603.6,2603.6,6050.5,6051.1,15.73,27.67,5
41286.1,41285,3055.1,3054.5,3054.5,2679,2678.4,2679.3,7125.6,7125.9,7125.6,2236.8,2237,2238,5043.8,5043.6,115091.3,115089.9,14620.9,14622.6,14621.2,3207.8,3206.9,3206,3479.8,3479.8,3480,5515.4,5514.9,5516.2,22209.8,22198.8,37949.3,37957.2,8135.2,8135,8136.4,4398.3,4397.4,4399,6685.3,6683.6,6682,5109.8,5108.5,5110.5,88109.1,88104.7,4941.7,4942,1703.6,1702.3,1702.1,4198.3,4198.2,4199.3,2416,2415.1,2415.6,2603.7,2603,2602.7,6048.3,6048.7,15.89,27.67,5
41271.7,41278.3,3054.7,3054.3,3054.2,2679.3,2678.8,2679,7121.1,7120.4,7120.7,2236,2235.9,2236.2,5043,5042.6,115102.1,115099.4,14622.9,14620.4,14620.7,3207,3206,3205.1,3479.2,3479,3479.1,5514.6,5514.8,5514.1,22180,22186.6,37922,37915.2,8134.2,8134.4,8133.7,4397.3,4396.5,4396.6,6678,6676.4,6676.3,5108.6,5107.5,5107.7,88067.9,88045.6,4938.9,4939.1,1703,1701.8,1701.7,4195.7,4195.7,4197,2415,2414.3,2414.7,2602.1,2600.9,2601.2,6047.3,6047.5,15.71,27.690001,5
41268.9,41256.8,3053.9,3053.3,3053,2677.5,2677.3,2677.8,7116.5,7115.5,7115.2,2236.4,2236,2236.5,5041.7,5041.4,115022.7,114946.7,14622.5,14622.4,14618.5,3206.6,3205.2,3204.6,3477.9,3477.3,3477.5,5512.8,5513.3,5514.5,22196.5,22198.5,37928.9,37913.4,8131,8129.6,8131,4394,4394.1,4394.5,6675.7,6672.5,6674.3,5105.2,5104.7,5108.2,88038.5,88056.9,4938.5,4939.1,1702.5,1701.1,1701.3,4192.8,4192.5,4193.1,2413.6,2413,2412.5,2601.5,2601.3,2601.5,6047.1,6045.5,15.49,27.65,5
